course_id,subject,order_index
22,A broad and robust understanding of computer science and programming,1
22,How to think algorithmically and solve programming problems efficiently,2
22,"Concepts like abstraction, algorithms, data structures, encapsulation, resource management, security, software engineering, and web development",3
22,"Familiarity in a number of languages, including C, Python, SQL, and JavaScript plus CSS and HTML",4
22,How to engage with a vibrant community of like-minded learners from all levels of experience,5
22,How to develop and present a final programming project to your peers,6
24,"History, benefits, and foundational concepts of online learning",1
24,How to leverage your prior educational experiences for success learning online,2
24,"Technology fundamentals for online learning, including building your digital confidence, using an LMS (Learning Management System), and making the most of online accessibility features",3
24,"Study strategies for online learning, anchored in the ABCDs: Awareness, Balance, Community, and Dedication",4
24,Time management skills to help integrate learning into your busy life,5
27,The origins of child protection in international human rights law,1
27,How to analyze global child protection issues and the diversity of actors involved in child protection,2
27,"The impact of violence, exploitation, and abuse (VEA) on children’s emotional, social and physical development and strategies for preventing and responding to these harms",3
27,The standards of protection for children in conflict or in contact with the law,4
27,How to assess and strengthen a child protection system,5
31,The structure and function of the chemical building blocks of life,1
31,How to navigate protein structures using PyMOL,2
31,The central role of enzymes in catalyzing the reactions of life,3
31,The primary metabolic pathways that power cells,4
31,The intricate mechanisms that regulate cellular metabolism,5
31,"The integration of biochemical processes in the context of cells, tissues, and whole organisms",6
32,Data visualization principles,1
32,How to communicate data-drivenfindings,2
32,How to use ggplot2 to create custom plots,3
32,The weaknesses of several widely-used plots and why you should avoid them,4
33,"How to read, analyze, and understand different forms of architectural representation",1
33,Social and historical contexts behind major works of architecture,2
33,Basic principles to produce your own architectural drawings and models,3
33,Pertinent content for academic study or a professional career as an architect,4
34,"The origin, architecture, primary components, and building blocks of Kubernetes",1
34,How to set up and access a Kubernetes cluster using Minikube,2
34,Ways to run applications on the deployed Kubernetes environment and access the deployed applications,3
34,Usefulness of Kubernetes communities and how you can participate.,4
35,How to reliably identify the roles and relationships of words in a sentence,1
35,Mastery of grammatical concepts and syntactical strategies,2
35,"How to apply this knowledge to produce coherent, economical, and compelling writing",3
35,Skills in critiquing and editing your own and others' writing,4
37,Model uncertainty in supply chains using probability and statistical analysis,1
37,Conduct hypothesis testing and regression analysis to support data-driven decisions,2
37,Formulate and solve mathematical optimization models for supply chain planning and network design,3
37,"Use simulation techniques to evaluate policies, test scenarios, and assess decisions under uncertainty",4
37,Apply algorithmic and approximation methods to solve complex problems when exact solutions are computationally infeasible,5
38,Probability distributions in finance,1
38,"Time-series models: random walks, ARMA, and GARCH",2
38,Continuous-time stochastic processes,3
38,Optimization,4
38,Linear algebra of asset pricing,5
38,Statistical and econometric analysis,6
38,Monte Carlo simulation,7
38,Applied computational techniques,8
41,How to think about uncertainty and randomness,1
41,How to make good predictions,2
41,The story approach to understanding random variables,3
41,Common probability distributions used in statistics and data science,4
41,Methods for finding the expected value of a random quantity,5
41,How to use conditional probability to approach complicated problems,6
42,An awareness of the opportunities for entrepreneurship in fast-growing emerging markets,1
42,An understanding of a conceptual framework for evaluating such opportunities,2
42,An appreciation of the types of problems that lend themselves to entrepreneurial solutions,3
43,Review fundamentals of spreadsheet applications,1
43,Perform basic spreadsheet tasks,2
43,Explain the importance of data quality,3
43,Import file data into Excel,4
43,Filter and sort data,5
43,Clean and prepare data,6
43,Analyze data using an Excel spreadsheet,7
44,How to value any asset,1
44,Decide which projects to take out of the many a corporation might be considering,2
44,Compute the return on any project,3
44,Compute the value that a project adds,4
44,Value a bond and compute its yield,5
44,"Value a stock using a simple model (i.e., determine the fair price of a stock)",6
45,Learn Python - the most popular programming language and easy to learn for beginners,1
45,Develop fundamental Python skills for Data Science and Software Development,2
45,Work with commonly used Python libraries such as Pandas and Numpy,3
45,"Utilize Jupyter Notebooks to develop, experiment with and execute Python code",4
45,Access and webscrape data using APIs and libraries like Beautiful Soup,5
48,Basic conversational skills,1
48,The alphabet and numbers,2
48,"How to describe your nationality, your likes, and your family",3
48,Using the verbto be; Basic conjugation,4
50,Understand what the Data Wise Improvement Process is and how it can help you improve teaching and learning,1
50,"Build skills in looking at a wide range of data sources, including test scores, student work, and teaching practice",2
50,Identify next steps in supporting a culture of collaborative data inquiry in your setting,3
51,An introduction to the history and key debates in Psychology and Neuropsychology exploring the main different cognitive functions and how they interact with one another.,1
51,The key techniques and methods to study the mind.,2
51,"The main theories, models and concepts of attention, memory, language, perception and emotional processing",3
52,The foundations of the American political culture,1
52,How the Constitution represented the idea of “limited government”,2
52,Why the Constitution’s framers felt it necessary to limit popular influence,3
52,The history of federalism as a constitutional issue,4
52,How power is divided between the federal and state governments,5
52,What individual rights are held by today’s Americans,6
52,Which policies have expanded the rights of disadvantaged groups,7
53,How religion and politics have been a persistent source of conflict,1
53,The nature of U.S. fiscal policy and monetary policy,2
53,How America’s welfare policies are distinct from those of other Western democracies,3
53,The structure and politics of the U.S. tax system,4
53,The partisan divisions over regulatory policy and the basis for those divisions,5
53,The factors that made America an economic powerhouse,6
55,"How the reproductive technology industry works, and issues raised related to buying and selling human reproductive materials",1
55,The law and ethics of surrogacy,2
55,Civil lawsuits when things go wrong with reproductive technology: wrongful birth and wrongful life lawsuits,3
55,The law and ethics of sperm donation and the legal status of sperm donors,4
55,Ethical and legal issues raised by human enhancement,5
55,The law and ethics of mixing human and animal genetic material,6
55,The ownership of human tissue and its underlying genetic information,7
56,Valuation of fixed income securities and common stocks,1
56,"Risk analysis, the Arbitrage Pricing Theory (APT), and the Efficient Market Hypothesis",2
56,Introduction to corporate finance and capital budgeting,3
56,Valuation of derivative securities,4
56,Portfolio theory and the Capital Asset Pricing Model (CAPM),5
56,"Corporate financial decisionsReal options, capital structure, payout policy, corporate bonds; andInteraction between investment and financing decisions",6
56,"Real options, capital structure, payout policy, corporate bonds; and",7
56,Interaction between investment and financing decisions,8
57,financial accounting,1
57,"NewExecutive EducationExpert-led, fully supported courses that build career-critical skills",2
57,NewMaster's DegreesOnline degree programs from top universities,3
57,NewBachelor's DegreesBegin or complete a degree; fully online,4
58,Authentic examples and case studies of how calculus is applied to problems in other fields,1
58,"How to analyze mathematical models, including variables, constants, and parameters",2
58,Appreciation for the assumptions and complications that go into modeling real world situations with mathematics,3
59,"The concepts necessary to define estimates and margins of errors of populations, parameters, estimates and standard errors in order to make predictions about data",1
59,How to use models to aggregatedata from different sources,2
59,The very basics of Bayesian statistics and predictive modeling,3
60,How to use Unix/Linux to manage your file system,1
60,How to perform version control with git,2
60,How to start a repository on GitHub,3
60,How to leverage the many useful features provided by RStudio,4
62,How to apply the knowledge base and skills learned throughout the series to a real-world problem,1
62,How to independently work on a data analysis project,2
63,Importing data into R fromdifferent file formats,1
63,Web scraping,2
63,How to tidy data using the tidyverse tobetter facilitateanalysis,3
63,String processing with regular expressions (regex),4
63,Wrangling data using dplyr,5
63,How to workwith dates and times as file formats,6
63,Text mining,7
64,The relationship between quality and population health,1
64,A framework for understanding and thinking about healthcare quality,2
64,Approaches to quality measurement,3
64,The role of information and communication technology in assessing and improving quality,4
64,Tools and contextual knowledge to improve the quality delivered in health systems,5
65,A good working knowledge of Linux,1
65,How to navigate through major Linux distributions,2
65,System configurations and graphical interface of Linux,3
65,Basic command line operations,4
65,Common applications of Linux,5
66,The history of World Literature,1
66,How literary works and books are transformed by cultural transmission,2
66,How to critically analyze literary works,3
66,The significance of major technological advances in writing,4
67,How the internal structure and organization of a cell provides an understanding of how and why a cell works,1
67,The role mitochondria play in the cell and why it is important for a cell to make ATP,2
67,How cells metabolize food to provide the molecules necessary for mitochondrial function,3
67,How the structure of the F1F0 ATP synthase leads to the production of ATP,4
67,What experimental techniques are used to investigate mitochondrial structure and function in the laboratory,5
69,Random variables,1
69,Distributions,2
69,Inference: p-values and confidence intervals,3
69,Exploratory Data Analysis,4
69,Non-parametric statistics,5
71,Important concepts in probability theory including random variables and independence,1
71,How to perform a Monte Carlo simulation,2
71,The meaning of expected values and standard errors and how to compute them in R,3
71,The importance of the Central Limit Theorem,4
72,How a computer processes programming code,1
72,"The write-run-debug cycle of writing code, running it, and revising it based on its output.",2
72,"Procedural programming, or how to write sequential lines of code.",3
72,"Variables, their types, and their role in complex programs.",4
72,"Mathematical operators for arithmetic operations, exponents, and more.",5
72,Relational operators for evaluating relative values or set membership.,6
72,Boolean operators for resolving complex logical statements.,7
73,Python 3 programming basics (a review),1
73,"Python tools (e.g., NumPy and SciPy modules) for research applications",2
73,How to apply Python research tools in practical settings,3
74,"The basic engineering, environmental science, and economics of our energy system.",1
74,Aworking understanding of energy technologies.,2
74,"Environmental impacts of the energy system, focusing on air pollution, climate change, and land use.",3
74,Techniques for estimating monetary costs andcarbon impacts.,4
75,The cultural significance of Shakespeare's plays and their performance,1
75,"How Shakespeare’s work was considered in his own time and in the present, in his own country and around the world",2
75,Different approaches to textual interpretation,3
75,"How to consider authorial intention, historical context, and present relevance",4
75,How to analyze Shakespeare's plays on the page and in performance,5
75,Foundational knowledge on Shakespeare that can be applied to his specific works,6
76,Basics of synapses,1
76,How neurons communicate with each other,2
76,How interconnected neurons in neuronal circuits interact with each other,3
76,The role of neuromodulation in the firing of synapses,4
77,What the term “digital humanities” means in different disciplines.,1
77,How common digital tools work and examples of projects using them.,2
77,"How various file types can be used to create, gather, and organize data.",3
77,How to use command-line functions to analyze text.,4
77,How to use free tools to create visual text analysis.,5
78,"Understand the language of the stock market, with a working knowledge of key terms and phrases",1
78,"Employ key money management techniques, such as knowing when and how to use stop orders, establishing trading goals, and knowing when and how toenter into trades",2
78,"Learn the proper technical tools to use for charting, such as candlesticks, time frames and RSI’s",3
80,"Climate change's impacts on nutrition, migration, and infectious diseases",1
80,The research methods used in this field,2
80,Strategies to mitigate and adapt to the health impacts of climate change,3
80,How changes in Earth's atmosphere affect health outcomes,4
80,How to assess the various ways of addressing the health effects of global warming,5
81,Excel fundamentals.,1
81,Data entry and editing using various formats.,2
81,Performing calculations using formulas and functions.,3
81,How to format and optimize spreadsheets.,4
81,How to manage spreadsheets using Filter and sort table data capabilities.,5
81,Previewing and printing.,6
81,Effective data visualization using basic charts.,7
82,How linear regression was originally developed by Galton,1
82,What is confounding and how to detect it,2
82,How to examine the relationships between variables by implementing linear regression in R,3
83,"The role of air, water, and wind in weather systems",1
83,How to estimate local wind speed and direction,2
83,How to avoid being struck by lightning,3
83,How to identify cloud types and features,4
83,How to describe the attributes of thunderstorms and tornadoes,5
83,How to collect and interpret data and observations to predict the next day's weather,6
83,The benefits and drawbacks of weather prediction methods,7
83,The butterfly effect and its application to weather systems,8
85,"Describe the different forms of energy, such as mechanical (kinetic and potential), electrical, chemical, electromagnetic, thermal, and nuclear",1
85,Interpret the units of energy and power and how to convert between them,2
85,"Understand different subatomic particles (proton, electron, neutron) and the major experiments that led to the modern concept of the atom and its structure",3
85,Recognize the nature of a chemical bond and compare and contrast the different methods of representing the chemical bonds in a molecule,4
85,Explain the Second Law of Thermodynamics and apply it to chemical reactions,5
85,"Gain an understanding of enthalpy, water condensation, geothermal energy, and thermodynamic pressure",6
86,The early history of World Literature,1
86,How literary works are transformed by cultural transmission and modern recovery,2
86,How to critically analyze literary works,3
86,The significance of major technological advances in writing,4
88,A systematic approach to technology entrepreneurship,1
88,How to generate new use scenarios by matching customer needs with promising technology seeds,2
88,How to align business and operating models,3
88,How to evaluate a technology for readiness and market fit,4
88,How to position opportunities to secure funding,5
89,Understand why digital marketing matters today,1
89,Understand changes in the digital landscape,2
89,Learn how to create innovative and impactful content,3
89,Learn how to create and use consumer personas,4
89,Conduct a competitor audit and analysis,5
89,Develop your own digital marketing strategy,6
91,Describe the important role charts play in telling a data-driven story,1
91,Use Excel features to create charts and pivot charts,2
91,Create advanced charts and visualizations,3
91,Create a simple dashboard using an Excel spreadsheet,4
91,Create visualizations in Cognos Analytics,5
91,Build an interactive dashboard,6
99,"What’s in the Bible, the book containing the sacred scriptures of Christians.",1
99,An overview of contents with a focus on diverse interpretations of well-known passages.,2
99,"Exploration of select themes, such as how Christians approach diversity, attitudes toward non-Christian traditions, existential questions of suffering and violence, the encounter with modern science, the roles of women, liturgical time and pilgrimage.",3
100,The chemical and physical principles that underlie everyday cooking and haute cuisine techniques,1
100,How chefs can use enzymes to make foods that would otherwise be impossible,2
100,"How to use the scientific method to learn how a recipe works, and find ways you could improve it",3
100,How to think like a chef AND a scientist.,4
101,How to frame a global health problem with a biosocial perspective,1
101,How to use a toolkit of analytical approaches to examine global health initiatives so as to identify and implement effective interventions,2
101,How to evaluate the ethical frameworks that have underpinned engagement within global health,3
102,The recent history of World Literature,1
102,How literary works are transformed by cultural transmission,2
102,How to critically analyze literary works,3
102,"Historical and political context in China, Argentina, Turkey, and more",4
103,A conceptual understanding of quantum mechanics,1
103,Key physics concepts,2
103,Key ideas in using quantum mechanical waves,3
103,Mathematics of quantum mechanical waves,4
103,Quantum mechanics of systems that change in time,5
103,Measurements in quantum mechanics,6
103,The uncertainty principle,7
103,The hydrogen atom,8
103,How to solve real problems,9
104,How to translate expert knowledge into a causal diagram,1
104,How to draw causal diagrams under different assumptions,2
104,Using causal diagrams to identify common biases,3
104,Using causal diagrams to guide data analysis,4
105,How Congressmembers are influenced by their constituencies,1
105,What causes political polarization between Republicans and Democrats,2
105,How Congress’s structure limits progress on significant issues,3
105,How executive orders expand the powers of the presidency,4
105,Why presidents are less constrained in foreign policy than in domestic policy,5
105,How federal agencies promote and protect their programs,6
105,The influence of politics on Supreme Court decisions,7
106,The many ways ordinary people have created change,1
106,The centrality of women in American history,2
106,"How history is complex, nonlinear, and in constant conversation with the present",3
106,How objects can embody stories of change,4
106,How our understanding of history is shaped by which stories are told,5
107,Core concepts in community health as part of primary health systems,1
107,Key components in the design and optimization of community health worker programs as exemplified through country case studies,2
107,How to advocate for community health worker programs with key stakeholders,3
107,The evidence demonstrating the impact and returns of community health workers,4
107,How to build coalitions to support government-led programs,5
107,How to break down silos and reduce duplicative efforts in the wider community health ecosystem,6
107,The common issues that arise in implementing community health worker programs at scale,7
108,"How to define AI applications, prompt engineering, and machine learning, and how to leverage these tools and knowledge for your own initiatives.",1
108,How to structure questions or requests in a way that guides an AI application to give the best possible answer.,2
108,How to leverage LangChain and ChatGPT to create your own application.,3
109,Money and Capital,1
109,Cash flows and Cash flow forecasting,2
109,Financial reporting,3
109,Interest and Return,4
109,Risk and Risk management,5
110,Explain fundamentals of databases and relational database management systems (RDBMS),1
110,"Execute basic SQL queries using SELECT, INSERT, UPDATE, and DELETE",2
110,Use string patterns and ranges to query and filter data,3
110,Sort and group data in result sets and use built-in database functions,4
110,Query multiple tables and compose nested SELECT statements and sub-queries,5
110,Analyze data in a database using Python and Jupyter Notebooks,6
111,"The nature of computers and code, what they can and cannot do",1
111,"How computer hardware works: chips, cpu, memory, disk",2
111,"Necessary jargon: bits, bytes, megabytes, gigabytes",3
111,"How software works: what is a program, what is ""running""",4
111,How digital images work,5
111,Computer code: loops and logic,6
111,"Big ideas: abstraction, logic, bugs",7
111,How structured data works,8
111,"How the internet works: ip address, routing, ethernet, wi-fi",9
111,"Computer security: viruses, trojans, and passwords, oh my!",10
111,Analog vs. digital,11
111,"Digital media, images, sounds, video, compression",12
113,Learn how to implement real-world embedded system projects on a simulated microcontroller using the Mbed API.,1
113,"Modify skeleton code to implement functionality for multiple applications: an audio wave generator, an audio player, and controlling peripherals using analog and digital I/O interfaces, interrupts, timers, and pulse width modulation.",2
113,Learn key features of Arm processors and architectures as the basis of modern embedded computing.,3
113,Understand applications of embedded systems and how a modern API can help accelerate IoT deployment.,4
114,Core knowledge and applied skills in project management,1
114,Essential communication skills to help you manage a project,2
114,An understanding of why today’s projects are more complex,3
115,Legal and historical frameworks shaping the professionalization of the humanitarian field,1
115,An applied understanding of the principles guiding humanitarian response and the tensions that arise when operationalizing these principles in modern crises,2
115,How to recognize and adapt to major trends affecting the scope and implementation of humanitarian work,3
118,Understanding of museum curation approaches,1
118,The basics of historical analysis and interpretation,2
118,"A sense of the work that historians, curators, and collectors perform",3
118,Strong critical thinking and analytical skills,4
118,How things that seem to belong to different disciplines actually can “talk” to one another,5
118,How close looking at even a single object can push beyond academic and disciplinary boundaries,6
118,"How things that may seem unrelated to each other can show relationships between art and science, economics, and culture, as well as between people in many different parts of the world",7
119,Basic financial concepts,1
119,Financial statements and their elements,2
119,Various accounting standards with respect to the elements in the financial statements,3
119,Techniques to analyse the financial statements,4
119,Interpretation of financial statements for better decision-making,5
121,The relationship between family engagement and improved school/student outcomes from birth through high school,1
121,"The additional benefits family engagement brings to parents, educators, and communities",2
121,What the research shows about the importance of engaging families,3
123,The basics of MATLAB,1
123,How to troubleshoot your code,2
123,Basic biological and medical applications,3
124,How sensory perception works in the brain,1
124,"How the physiology of vision, hearing, taste, smell, touch, motor control and other senses work",2
124,The basic anatomy of functional areas of the brain,3
124,The visual system of the brain,4
124,How the motor subsystems of the brain execute and coordinate our movement.,5
124,The critical brain systems that keep alive,6
125,"Explain software engineering, Software Development Lifecycle (SDLC), and software development tools, technologies, and stacks.",1
125,Describe the difference between types of programming languages and create basic programming constructs such as loops and conditions using Python.,2
125,"Outline approaches to application architecture and design, patterns, and deployment architectures.",3
125,Summarize the skills required in software engineering and describe the career options it provides.,4
127,The many meanings of Hamlet revealed through the central figure: the Ghost of Hamlet’s murdered father.,1
127,The historical context that shaped how Shakespeare wrote the play and how his audiences interpreted it.,2
127,How to challenge the assumption that the play is only about revenge.,3
127,"The importance of themes like remembrance, death, and mourning.",4
127,"How the Ghost has been interpreted on stage, on screen, and in writing.",5
128,Describe key concepts of acid-base chemistry and equilibrium reactions involving acids and bases,1
128,"Understand the significance of electrochemistry, how it relates to other fields of science, and how it is applied in real life",2
128,"Understand what it means for an element to be ""oxidized"" or ""reduced""",3
128,Identify the differences in efficiency between renewable primary energy from electrochemical energy sources with primarily fossil fuel-based energy ones,4
128,Describe the reactions occurring in an electrochemical (voltaic) cell,5
128,Identify how different types of batteries differ in their energy storage efficiency,6
129,"Develop mature Java programming skills with the use of generics, references and interfaces",1
129,Understand the principles of data storage in Node objects,2
129,"Program various low-level data structures like Singly, Doubly and Circular LinkedLists",3
129,"Design and implement ADTs like Lists (backed by Arrays), Stacks and Queues",4
129,Examine the edge cases that occur in these linear data structures,5
129,Analyze the time complexity of linear data structures and their algorithms,6
129,"Compute amortized analysis for Arrays, ArrayLists, Stacks and Queues",7
129,Implement recursive methods that operate on linear data structures,8
129,Extend knowledge of these concepts to other structures like PriorityQueues and Deques,9
130,The history and significance of the Giza Pyramids and surrounding cemeteries,1
130,Who explored the Pyramids and how they documented their discoveries,2
130,"The cultural and religious significance of the Giza Pyramids, tombs, and temples",3
130,The role of hieroglyphic inscriptions in the tombs at Giza,4
130,"An appreciation for Egyptian art of the Old Kingdom, or Pyramid Age",5
130,How digital technologies allow us to visualize ancient monuments in new ways,6
130,What the future holds for our understanding and experience of Giza,7
131,CS50's Introduction to Computer ScienceHarvardX,1
131,Course,2
131,Artificial Intelligence: Implications for Business StrategyMIT Sloan School of Management,3
131,Executive Education,4
131,Supply Chain DesignMITx,5
131,Course,6
131,Data Structures & Algorithms IVGTx,7
131,Course,8
131,Exercising Leadership: Foundational PrinciplesHarvardX,9
131,Course,10
131,digital marketing,11
131,UMD: Fundamentals of Digital Marketing,12
131,Increase your career opportunities84% of learners report more opportunities after earning their certificate.,13
131,Show off your hard work and dedicationYou’re learning fromUMD! That’s a big deal. Let others know about your achievements.,14
131,Unlimited Access,15
131,World class institutions,16
131,Graded assessments,17
131,Earn a certificate,18
131,Access Expires Jun 17,19
131,Learn Software Engineering,20
132,The impact of the history of flight on aircraft today.,1
132,How the earth's atmosphere can be modelled and how we can use this for aircraft design.,2
132,"Stability, structures, navigation and propulsion of aircraft.",3
132,The fundamental aerodynamic concepts for flying an aircraft.,4
132,How airfoils and wings generate lift.,5
132,Flight mechanics of aircraft.,6
132,"How aircraft can optimally climb, descend and cruise.",7
133,Whata ‘strategic’ approach to HR management entails.,1
133,"International approaches to HR competencies, andhow to compare it to your context.",2
133,"The importance of good HR ethics and governance, and its implications.",3
133,A strategic approach to HR risk management.,4
133,Theimplications of digitizing HR.,5
133,Theimpact of new technologies and the Fourth Industrial Revolution on HR practices.,6
133,Thepitfalls and pearls of a global HR strategy.,7
135,corporate finance,1
135,Transactions and financing,2
135,Financial planning and analysis,3
135,"NewExecutive EducationExpert-led, fully supported courses that build career-critical skills",4
135,NewMaster's DegreesOnline degree programs from top universities,5
135,NewBachelor's DegreesBegin or complete a degree; fully online,6
135,"Careers in Corporate Finance.Corporate Finance Institute. Retrieved on June 27, 2023.",7
135,"Financial Analysts. (2023).U.S. Bureau of Labor Statistics. Retrieved on June 27, 2023.",8
135,"What Is A Controller In Finance? Role And Responsibilities. (2023).Forbes. Retrieved on June 27, 2023.",9
135,"Risk Management job description guide.Robert Half. Retrieved on June 27, 2023.",10
135,"What Do Investment Bankers Really Do?(2022).Investopedia. Retrieved on June 27, 2023.",11
136,How to construct major and minor scales,1
136,"How to identify, analyze, and sing intervals",2
136,How to identify the tonal center of a song,3
136,"How to build basic major, minor, and dominant seventh chords",4
136,How to create a common chord progression - the I IV V,5
136,How to recognize blues and AABA song forms,6
137,Basic concepts of marketing,1
137,"Segmentation, targeting, differentiation and positioning",2
137,Marketing strategy,3
137,"4Ps of marketing: product, price, place and promotion",4
139,What is a program?,1
139,Using variables in programs,2
139,Conditional execution (if statements),3
139,Repeated execution / looping (for statements),4
139,Functions and code reuse,5
146,Basic statistical analysis,1
146,The essentials of data preprocessing,2
146,Basic machine learning techniques,3
146,Understanding data integration,4
146,An introduction to data security and privacy,5
146,Python programming,6
146,Python libraries for data preprocessing and analysis,7
148,The scientific concepts that underlie everyday cooking and haute cuisine techniques;,1
148,"How to apply principles of physics, engineering, and chemistry to cooking;",2
148,How to become an experimental scientist in your own kitchen;,3
148,How to think like a chef AND a scientist.,4
151,"How to evaluate, manipulate and graph the types of linear equations that appear throughout an MBA syllabus",1
151,"How to evaluate and manipulate the complex relationships that appear (for example, those that are represented as quadratic or exponential equations)",2
151,"How calculus is used to solve optimization problems, such as finding the quantity of sales that maximizes a firm’s profit",3
151,How tools relating to mathematical series and sequences are adopted on an MBA program to calculate concepts such as net present value and compound interest,4
154,CS50's Introduction to Computer ScienceHarvardX,1
154,Course,2
154,Artificial Intelligence: Implications for Business StrategyMIT Sloan School of Management,3
154,Executive Education,4
154,Supply Chain DesignMITx,5
154,Course,6
154,Data Structures & Algorithms IVGTx,7
154,Course,8
154,Exercising Leadership: Foundational PrinciplesHarvardX,9
154,Course,10
154,social media marketing,11
154,UMD: Online Advertising & Social Media.,12
154,Increase your career opportunities84% of learners report more opportunities after earning their certificate.,13
154,Show off your hard work and dedicationYou’re learning fromUMD! That’s a big deal. Let others know about your achievements.,14
154,Unlimited Access,15
154,World class institutions,16
154,Graded assessments,17
154,Earn a certificate,18
154,Access Expires Jun 17,19
154,Learn Software Engineering,20
157,"Understand a series of concepts, thought patterns, analysis paradigms, and computational and statistical tools, that together support data science and reproducible research.",1
157,Fundamentals of reproducible science using case studies that illustrate various practices,2
157,Key elements for ensuring data provenance and reproducible experimental design,3
157,Statistical methods for reproducible data analysis,4
157,"Computational tools for reproducible data analysis and version control (Git/GitHub, Emacs/RStudio/Spyder), reproducible data (Data repositories/Dataverse) and reproducible dynamic report generation (Rmarkdown/R Notebook/Jupyter/Pandoc), and workflows.",5
157,How to develop new methods and tools for reproducible research and reporting,6
157,How to write your own reproducible paper.,7
158,The theory and practice of polling,1
158,The nature of today’s Republican and Democratic parties,2
158,How U.S. elections differ from those of other democracies,3
158,Key points of the 2016 Trump-Clinton race,4
158,Why social movements succeed or fail,5
158,Why some special interests are more influential than others,6
